sentiment,text
positive,Perfect for what it does.
negative,"does not fit on 15"" standard steel corolla rims as advertised"
positive,Perfect Fit!
positive,Good service but we couldn’t program the key to work. No problem with return.
negative,awful...and cheap
negative,fit my 2007 tacoma trd perfect and matched the grey plus easy to install.. update to this product. after just 2 months its already tearing away from mirror and now looks like crap... ive hardly used the visor...5 star to 3 star..
positive,2 minute to install with just a Philips screwdriver! And fit perfectly on my 2011 Audi q5 3.2T!
positive,Works great with Forscan.
positive,"My new Rug Doctor Spot Cleaner came yesterday, I used it this morning, and I am SOLD!  I own a Kirby foam carpet cleaner, and it is awesome.  However, it does not have any small attachments with which to clean upholstery or autos and is pretty clunky for cleaning stairs.  I thought I would continue to use the trusty rental from our local hardware store for my upholstery and cars - it comes with a great upholstery kit.  But I ran out of time before I got to every project, and had an aching back from lugging such a huge machine up and down the stairs.  Plus, one of my sofa cushions dried with a funny water stain again - argh!  So I gave in and treated myself to my very own little cleaning machine, so I can clean whenever I want.  Note - I do not have pets.  I am simply a mom with three boys and a husband who wasn't taught to remove his shoes indoors as a child - as a result, I have plenty of dirt and lots of spots from accidents like sippy cup milk spills and beer tipped over during a football game.  Our carpets are a safe tan plush.  My upholstery is tan also (what was I thinking!).<br /><br />Rug Doctor versus Bissel - I read all the reviews and decided to get the Rug Doctor based on more suction power, a wider upholstery cleaning head, the brush that can be turned on and off (nice to buff up carpet on the stairs), and the fact that the water spray is below the suction, so you can actually see where it is going - super handy on cushions!<br /><br />This is not a review for the cleaning solution, I haven't used it yet.  I had to return my rental before I could rinse my stairs, so the first thing I did was fill the Rug Doctor with clean water and rinse my stairs.  It did a great job - and I had my first ever &#34;clean swath&#34; moment on that difficult step lip that never seems to get clean, thanks to the suction window (see below).  I also sprayed Resolve foam on my couch cushion with the funny water spot, rubbed it in, let it set for five minutes, and rinsed the cushion three times, and it came clean.<br /><br />Pros:  the clear window on the attachment that lets you see bubbles and dirt (this makes it SO easy to tell if you have rinsed enough, or need to go over again with a rinse or more soap)  The wheels, pull handle, and lift handle - I have fragile joints and a lot of pain, so this machine is perfect for mobility.  True, it's not built like it would have been even ten years ago, but if I am careful the plastic should last.  The cord and hose wrap up nicely.  It looks adorable.  It stores easily.  It cleans easily.  It also empties easily.  Note:  even after reading all the reviews, I still spilled dirty water the first time, albeit on my counter - please note that the dirty water tank has a hole at the top that is ALWAYS OPEN, not just the bottom hole, which is only opened when cleaning for storage.  I didn't see it at first.  That made me laugh.  It is very easy to dump the dirty water because you don' have to take a lid off.  Smart idea.<br /><br />Cons:  It could use a longer cord.  My have 16 steps to my stairs, with an outlet at top and bottom.  I could only clean 10 stairs before having to unplug and replug.  It does sit nicely on the stairs tho, and is easy to move from step to step while working.  The biggest design flaw, in my opinion, is the clean water tank.  No, it does not sit flat for filling, which would be nice, but I measure my cleaner instead of using fill lines, so not a huge issue.  My issue is the only opening in this tank is the one on the bottom that feeds the machine - it has a nice tight rubber seal, much like a blender.  Because I rinse a lot, I fill with clean water a ton.  It would be SO much easier it there was an opening on the top (much like the dirty water) where I could keep adding fresh rinsing water, rather than tug the jug out of its fitting and then take that sealed lid off.  Just a thought, Rug Doctor!<br /><br />HINT:  If you lose suction, empty the dirty water.  Once it hits about 70% full, suction disappears.  If your water won't spray, you have dirt in the line - rinse the jug and intake, keep trying, and the spray will come back!"
positive,Great sales great support and the part is better than new factory parts . I can't say enuff about this supplyer thay could not do better . I will order from this supplyer again . Thanks it fit .
positive,"good oil at a good price. I will use this in my lawn and garden equipment. Why not 5 stars, Hard for me to love something that can't love you back"
positive,Much less expensive than OEM headlight clips. These are large enough to fit big headlights and can be modified easily with pliers to fit smaller lights.  Fantastic value.
positive,"Not sure about the negative reviews, mine have been in for 6 months and great so far.  Nice yellow light, good brightness and the yellow light is really good for cutting through fog/mist as that is the optimal color to do it.  I have to assume that half the reviews where a bulb is burnt out the person installing them touched the bulb with their finger or didn't clean the bulbs off with rubbing alcohol and a lint free cloth prior to install which can cause them to burn out really fast."
positive,"A handwashed vehicle is something to be proud of, especially when you do it yourself. Instead of ruining some old rags, risking scratching your vehicle with any excess rock/debris, buy this and you'll back/hands will be thanking you later. Literally, just a little bit of car wash soap w/ elbow grease, and you turn a 20-30 minute job into 5-10 minutes with less stress on your body.<br />I will provide photos the next time I clean my motorvehicle.<br />Disclaimer: I'm just a dude who likes to keep things clean."
positive,"Due to Christmas season, I have not started this project."
positive,good
positive,"It fits right under the back seats so that when the seats are down, they act as a lid to the storage. Like other reviewers, I drilled a couple of holes in the back to bolt it securely to the small storage compartment already under the seat. This works better than the included straps. It won't go anywhere.<br /><br />I also have a sturdy mat that this is sitting on and it still works. The capacity is nice. I can put tow hitches, straps, bungee cords, tow ropes, air compressor, small tool kit, tire repair kit, jumper cables, additional jack if I need one, and still seem to have plenty of room for more stuff...who knows, perhaps there is a secret decoder ring back there too! Now we're talkin'!<br /><br />Anyway, I am pleased."
negative,Nothing wrong with the parts themselves....its the lack of adhesive that drives me nuts. There's only a 1/4 inch strip of 3M tape around the perimeter...and it doesn't even surround the whole perimeter.  There's no doubt it would fall off very quickly and it certainly wouldn't seat well.  I could add double sided tape but I don't want to.
positive,I prefer NGK plugs for all my small equipment.
positive,Bought this upper motor mount for a 2007 Cadillac DTS. It was a perfect fit and took about 15 minutes to install. I do some of my own mechanic work and almost all of my own maintenance work on my vehicles. This was a no brainer. Probably saved myself at least $50 in labor. I checked the price at auto zone and Amazons price with free shipping was comparable. I ordered it and went to work. When I got home from work the next day it was waiting for me to install. No need to drive to auto zone. Thanks for the convenience Amazon.
positive,"I didn't have an emergency kit in my car and it was one of those things I would think, &#34;Okay, sometime I'll put one together.&#34;  Sound familiar?  Never happened.  So I got this kit as an antidote for my procrastination and it has turned out to be quite suitable.<br /><br />The included components, while not of industrial quality, would still be adequate in an emergency:  LED Flashlight, plastic poncho for the inevitable rain, a &#34;HELP&#34; sign that can be put in a window, a can of tire sealant with a electric tire pump (with a built-in LED to see what you are doing on the tire when you are stuck on the side of a road, at night, in a rainstorm, and feel miserable), a set of jumper cables, gloves, screwdriver, zip ties, a bungee cord, a thin blanket you can kneel on at roadside, and finally, a basic first aid kit.<br /><br />Each of these items can be very useful in an emergency situation.  And of great importance, the kit comes in a sturdy carrying bag, so these items are in your car, convenient and available when needed.<br /><br />I have added two other items though:  First, 2 roadside flares.  Having flares can be a lifesaver.  2nd, I've added some additional basic first aid items.  They don't take up much room and don't have expiration dates.<br /><br />It's one of those things you hope you never need to use, but are so glad to have - in one convenient bag, as a &#34;just in case.&#34;"
positive,How love how this folds up neatly and I can tuck it beside the passenger seat.  I works great!
positive,"You'll need a pro to cut the key, but the FOB can be programmed yourself.<br /><br />The instruction are below, and know it does work, but it may take doing it many times and getting &#34;lucky&#34;.<br /><br />Give yourself an hour to 1.5 hours to fiddle around with this."
positive,love it
negative,returned
positive,"it was just like advertised 2 -16"" x 4' I use them for cattle fly wipes as they come in the barn"
positive,Just put this on my car it looks great! was reasonable easy to adhere to my car and it looks great I hope it holds up over time and last.
negative,These look like great LED bulbs but I'm unable to install them correctly in a 2020 Jeep Wrangler JL. They only offer a very limited rotation. An LED bulb should be position vertically with LEDs facing left and right. Unfortunately even after playing with the rotation adjustment there is no way to properly orient the bulb in this Jeep's halogen housing.
positive,Easy to use.
positive,I used this car grill mesh to fabricate a grill to protect my oil cooler on my 2011 BMW R1200RT. It worked perfectly and looks great.
positive,Just got this cover. Have to leave car in driveway for a few weeks and didn’t want tree droppings on it. Tried it on today and I am so happy. Fits nice and looks sharp. It’s summer now and very hot but I think it will weather well. Also like the 3 straps. A bit windy here too.
positive,"Bolted right on with no problem, was able to remove rear plug for my power brakes , no problem. Car runs much better  Great deal"
positive,Works as it should.
positive,2002 Pontiac Montana fit perfect
negative,"Quality of plate is good, graphics are nice, just no text on the top. Weird. Still I kinda like it as it is so no problem. When you see it you have to think ‘peace, love, dogs’ rather than having it spelled out."
positive,"perfect fit for my NOCO XL, keeps everything in one convenient location and protected from being knocked around in my truck. Very happy with my purchase."
positive,worked perfectly for a great price.  Order a 9v battery because it does not come with one.
positive,"Wish they were 2 or 3 inches wider,  towards the center of the bike. I would buy again"
positive,This product works for my needs as not everyday tool.
positive,worked
negative,"Good idea  but horrible execution, does not last  comes off in a month, waste of 25 bucks"
positive,Fast shipping fits like a glove
negative,Installed and locked myself out of my jeep before I realized it is missing major operational parts like the springs.
positive,"We have a little used pickup, a garden tractor and a 52"" lawn mower to protect plus three 5 gallon cans for refills when necessary.  So we need more than 4 cans this size treat all our fuel for the winter.  We sadly learned our lesson the hard way when the first spring out of storage the garden tractor would not start.  Ultimately we had to winch it onto a trailer and have the dealer correct the problem.  As they handed me the eye-popping bill when I came  to pick it up, they mentioned, ""you would not believe how much water we had to purge from your fuel system including your fuel injectors and cleaning them""!  Lesson learned!"
positive,They look awesome. But the Holdsworth cut out exactly right to match up with my post holes. Which is okay by me cuz I don't use them anyways
negative,Plastic is too thick. Easily twice as thick as the factory filter. Distorts the airvo and is unacceptable. I will be returning and buying genuine Subaru air cleaners.
negative,Pretty good soap. Smells good suds up nice. I am not sold it cleans any better than cheaper soaps. I still had to scrub
negative,this thing does absolutely nothing. I have not noticed a difference and the car still smells. the only thing that helps was cleaning the car and using an actual air freshener.
positive,worked good
positive,"I've heard lots of bad things about those chinese knockoffs not fitting right and threads not being the same, so I just went ahead and ordered the real Motorcraft thing and Bingo! no problems at all installing it, the only thing is that the gasket wasn't included, it costs approx $2.40 at AutoZone, oh well, I'm happy cause no more coolant leaks! my truck is a 1997 and it was the original part that finally gave away to corrosion, 21 years isn't so bad, I hope this one lasts as much as the original."
negative,"the mirror is too small and, it's too hard to adjust for direction. I suspect it would break easily if I tried to move it too much."
positive,Awesome product
positive,Perfect fit great price well packaged!
positive,"Easy to install, good value for the money"
negative,Unfortunately the wires are not correctly put in place. You have to move the positive down to the center which is dumb. They have no leads so you have to make your own leads to the source that you're powering. You will have to buy connectors. Not sure if I'm going to keep it actually I may just return it. The other one I bought had labels and you were able to label each switch this one doesn't have that feature I'd like it. I may return it just for the fact that there's no labels and that you have to make your own leads.
positive,Great bag for buck..
positive,"My generator tire was flat, I added this tube to the existing wheel and it has held air and fixed my problem for at least 6 months. I am so glad I found this solution instead of replacing the wheel. Install took about 30 min…"
positive,"I was putting on new tires, so I decided to upgrade the valve stems from the ugly black plastic. These went on very easily, sealed perfectly, and look great.<br /><br />Pros:<br />- They look great even if you don't have custom rims. Black plastic is ugly and detracts from the looks of your vehicle. These look much better and blend in with custom rims to create a seamless look.<br />- Easy to install. The rubber part you see in the pictures is a 2-piece seal, just unscrew the nuts, slide the bottom part of the seal off, stick it through the hole, put the seal back on, and tighten the nuts. You're done.<br />- Good air seal. You don't even have to torque the nuts really hard to get a good seal with this design.<br /><br />Cons:<br />- You do have to pop the bead on one side of the tire, so unless you have the right tools and a big air compressor, this isn't a DIY job. But if you're getting new tires anyway, that would be a great time to upgrade the looks of your valve stems.<br />- No good way to keep the angled stem aligned where you want it when you're tightening the nuts. They should have either a full hex pattern or at least opposing flattened sides on the outside part of the stem so you can put a wrench on it.<br /><br />I like these and will probably get another set when it's time to put new tires on my other vehicle."
positive,"I was pleasantly surprised when I saw that this wasn't just a tire gauge. It comes with multiple little pieces that could come in handy if you, for example, are changing a tire at night and lose the little valve cap. This has replaced the old analogue tire gage in my car and I am very happy with its accuracy."
positive,Perfect fit!
positive,I have had a couple of these Clocks for years  and they are still running . I found that you shouldn't put it on a wall that's next to a door the opening and closing of the door moves the clock. I also use good batteries Duracell kind not cheap ones.
positive,the sticker's quality is good but not amazing. but the price is cheap and worth it if you are a fan.
positive,Works great on my leather interior
positive,"Easy to install  although it should be noted that the heat sink and fan extends farther than the original light and might interfere with parts in the engine compartment as mine did but none the less, it was still easy to install. They look great."
positive,Fit perfect and easy to install
negative,Not worth the money. Does little if anything to reduce noise or vibration.
positive,"i use this in my old hoopty escort,as dash lites.i have to take steering wheel off and air bag just to get the dash out to change dash lites.this product is a great lite for my needs.has worked flawless for many months."
positive,Perfect fit! I love it. I measured my head and went to the fly racing website and looked at the measurements and ordered by size. I tried on their website but they were out of stock. So I came to amazon knowing my size and ordered. Perfect fit and came in packaged just perfect.
positive,In my opinion theyre better than the other brand just because theyre odorless.
positive,"They fit and light up well. not as bright as the regular 194s but close enough. If you are trying to save amps without having to use resistors like I am, try to do it often."
positive,Fits as expected. Needs to have a tether to the gas cap door like the OEM standard fuel cap.
positive,Put these on my 14 Xterra and I love them!!! They look great and stop me much better then stock ever did. Easy to install and fit was perfect.
negative,It's oil.  You put it in your engine to lube stuff up.  Works as advertised.
positive,Looks great<br />Easily fits on my sun visior<br />Stays in place<br />So glad they made this!!
positive,Works Good
positive,ok
positive,Just as expected gave as gifts to my nephews they enjoyed them.
positive,The quality of this frame is excellent.  It's made of plastic and the lettering was great.
positive,bed rails fit like a glove.after they were installed I had to stand on the bed rails to clean leafs off the carport and they didn't crack or get damaged in anyway and I wiegh 300 lbs. easy to install on my 04 dakota pick up.fast shipping too.......
positive,Works as it should
positive,"This was part of a gift,a,d he loves it!  Has it hanging off his  mirror in his Soltice car"
negative,Useful for use on vehicles when there are long periods without use.
positive,"Put in my mini-van, works great.  Different attachment options"
negative,"This arrived with a few scratches. It took an hour (using a separate attachment) to inflate my paddle board. There are photos of air mattresses and inflatable rafts in the listing. This is not made for anything that large.  I wouldn’t recommend it for anything larger than a soccer ball, a small swimming float, or maybe topping off my car tire. I took a break about half way through to let it cool down because the hose became very hot. It’s also quite loud, as you would expect from an air compressor. I’m not sure why other reviewers would call it quiet."
positive,A must have for any toolbox professional or DIY guy
negative,"Works OK but not great. Must use a fair amount and scrub to remove bugs, and very weak on tar."
positive,"Nice lights. They are very bright! Wish there were other lenses like smoked. I replaced my other lights that had burnt out due to water. For this set, I took some superglue and applied it around the perimeter of the lense just to seal to be safe. Also, note(!) This only fits the TRD Pro grill. Luckily I had some plastic clips from my previous install that adapts it to the Sport grill on my Tacoma."
positive,"Fits my 2011 Suzuki C50T Boulevard just fine with no modification - holes pre drilled to correct size.<br />The C50T has factory installed bags, windshield, and passenger seat back (not aftermarket). Maybe people with after market passenger seat back are having hole sizing issues. Don't get me wrong, I love after market stuff like this Quality Luggage Rack at a reasonable price (local Suzuki Dealer wanted ~$250 for official Suzuki rack - I like this one much better). When you install the rack into the seat back supports you need to align the holes on these thick slabs of steel. Using a drift pin alignment tool (like a long ~10&#34; or more tapered punch) makes this easy to hold one hole in alignment while installing the bolt in other hole, etc. On the C50T the rack mount ears on the rack go between the frame supports and the seat back supports. The seat back supports are threaded for the bolts.<br />I am very happy with this quality luggage rack."
positive,perfect shade for the nsx
negative,It slides up and down on my seat belt.
positive,Bought as a birthday gift and he loved it......original horn on truck was a sissy sound this is just the right decibels
positive,"I plan to carry this on road and mountain bike rides. As I get older the thought of being stuck with a flat 14 miles from the car sounds dreadful. I did a trial run with it this morning on presta valves and didn't even have to read the instructions. Very self explanatory. Power it on, press the cycle button until you get to PSI, hold down the + button to get to the desired pressure, and hit the power button. Just make sure you have a leak-free connection with the presta adaptor and tire valve. Screw it on until you no longer hear hissing. I go by feel so when the tire is firm enough I just power it off myself instead of waiting for it to shut off itself. Fits nicely in the rear pockets of the TSLA short-sleeve jersey I also ordered. I also carry two bottles of sealant with me. One thing...it's pretty loud!"
positive,"This stuff is pretty good, but don't expect miracles after first time use. I own a 2006 Subaru Outback with a manual transmission that was starting to become very slow when starting in 1st gear. Also, while idling, the engine would have noticeable pauses. I was curious about fuel injection treatments, but they can cost up to $70 at the shop. I did some research and decided with this brand after reading many great reviews about it. After putting the Techron in and filling up, the pausing stopped completely and I definitely noticed a positive change while accelerating. I plan to use it again next time I need an oil change as part of regular maintenance."
positive,Works well
positive,Good product
positive,Already used obd at my old job! This is great device simple to use once inserted. Love it
positive,Perfect
positive,I liked that they were easy to install for the most part.  They are small so takes time to get them on but is an easy job after you get a couple started.
positive,We use these all the time in our RV and they work great. We love the scent.<br />Beware: they will explode in very hot weather. We had these in our RV this summer and they exploded. I guess it got too hot inside the RV.
negative,"These lights are brighter than the OEM headlights that came with my 2015 Toyota Tacoma.  The rubber seal that covers the back side of the headlight assembly did not fit with these installed.  It does not seem to cause any problems, but it makes me a little nervous.<br /><br />Pros:<br />Bright, white light for great visibility<br /><br />Cons:<br />High Beam makes very little to no difference!!  In other words, the high beams are useless!!<br />The rubber seal that covers the back side of the headlight assembly did not fit with these installed.<br />The light seems diffused to the extent that I am frequently being flashed as they shine into the eyes of on-coming drivers."
negative,"Finish is very good, fit was perfect and the sound is deep and throaty. Cons are that it's louder than I'd expected (quite loud, actually), and there's not stop tab for the centerstand, only for a side stand, really disappointed about that. They could have made it like the factory pipes with a little longer bracket there for the extra rubber bumper for a centerstand to hit. For the price, it seems it should have had that. I feel a bit cheated. Had to have a bracket fabricated to extend the centerstand stop to mate to where the side stand stop was and then remove the side stand. Had to chose one or the other and no changing tires with a side stand only."
positive,He loved it!
positive,excellent... really cook looking too.  I luv it.
positive,This is far the best one I ever used!
negative,The lens was cracked upon arrival.
positive,Solid construction and fits my xTerra well.  No issues.
positive,"Easy to pop out the pools broken clip and push this new clip in. It is a darker beige the than the original but you can snap on the original cover over the clip. The color difference is really not noticeable. The sun visor is a very snug fit into the clip, but it works just fine. I would definitely recommend this. It's a DYI project for sure.<br />Don't pay dealer prices."
positive,Work well for travel with our pet.
positive,As described
positive,I have bought 2 of these in three months.  Both of them worked and the error sign went away.
negative,Bought a pair I n June 2018.  Lasted about a year and both failed at same time.  Junk.<br /><br />Original  Ford struts lasted me 12 years.
negative,There are no install instructions and it stated it fit our 2022 VW Atlas but it does not.
negative,they are not for 2009 gmc envoy not even close enough
positive,Fit my car perfect
negative,It's hella small
negative,"Garbage.  Just a case, no guts.  What a joke.  If you want one of these, another seller has this for $5 less.  No electronics.  No battery.  Really."
positive,"Great price, easy to install. We bought a bunch, all worked and we ice condition. Didn’t quite match up shape with our old ones."
positive,"These hooks have a decent tension, spring loaded safety latch.  You need to supply your own chain of the proper rating for whatever you're towing.  Having a grade 70 rating, these hooks will way outperform the chain I chose for my utility trailer."
positive,These tire covers exceeded our expectations. The quality of materials is excellent and so is the construction. The fasteners work well and we expect very good service from these.
positive,"Last year I went out on a limb and bought an ASL under hood light. I have been very pleased with it. My handheld Mac tool Light bit the dust and I needed a replacement.  I bought this model the ALS501R I could not be more pleased. It has a very good feel in my hand battery life so far is great has many folding options great magnet,  it can handle a tough shop environment and cleans up very well with just a wet rag with some dawn soap in some hot water.  This is a very High-Quality light, same or even better than the tool truck lights."
positive,It fits very well<br />I’m my RAV4 window.
positive,"Heavy duty, what else is there to say"
positive,For perfectly 👌
negative,"Its been on my HONDA ACCORD V6 EX AUTOMATIC 4 DR for a day now and they do squeak! so and big WTF! but, may be I need to break them in installed with new EBC rotors too. check out pic. Overall they are pretty decent and feel strong when breaking.. I recommend this my friend! UPDATE*****Day 3 of these pads being on, and, my front rims are black with brake dust, I'm a little confused as these pads are supposed to be low dust. It now has the same amount of dust my old pads would give off, after being on for 3 months.<br /><br />[UPDATE 2 weeks later]<br /><br />I've put more than 500 miles on these pads and rotors. They stop well and feel good on the brake pedal, almost feel like rubber bicycle brakes but the stopping power of a car. Bad part is way too much dust. I got punked and have been taken for a ride by EBC. I was looking for low to no dust brake pads but these put out about 70% more brake dust than original HONDA pads. Too much really black oily  brake dust, I'm mad because I spent a whole day removing and painting all 4 calipers red, and I can't even see them.<br /><br />Overall good stopping power TOO much brake dust."
positive,"Nice BMW OEM item. Pretty good price. Will arrive rolled in a BMW box. Place on a flat surface (floor) with heavy books on the four corners, and the mat will lie flat within 24 hours. If you are fuzzy (and, if you own a BMW, you probably are), spills and dripping shopping/grocery bags will eventually stain the trunk carpet, which is not high quality and, thus, very difficult to clean, even if you can."
positive,"We have two sets of steps on our trailer.  I put two of these on the main steps a few years ago, and they have held up well. We decided to do the second set of steps because we are using both more often the last year or so.  The new ones still match the older ones pretty well."
negative,"I wouldn’t normally take the time to write a review on a small item such as this, but this squeegee is so over priced, and horribly designed, that I felt the need to warn people so as not to waste their money!  I assumed, for the price, that it would be better then the $4 Walmart version- very wrong.  The foam netting part is no better then the cheaper version, but the real annoying part is the fact that the head comes loose every time you take a swipe.  I am going to trash this item and call it a loss."
positive,"Required this socket to change oil on 2009 chevy. I was unable to access the oil filter without the socket. Previous to this purchase, I would strip the rubber trying to gain access to the oil filter."
positive,These are a lot stronger and durable than they look in the picture.
positive,Product fit perfectly!
positive,Works great
positive,This is exactly what I was looking for and I was able to do what I wanted. I would recommend this product
positive,"5'10"", 170lbs. Ordered large and futs perfectly.  Haven't used it in rain so I don't know.  Perhaps lite rain. Its definitely designed for warmer weather. You can hold it up to the light and see through it. Love how it looks and fits. Not for colder weather. Has decent, non-restrictive armor. Some armor is so hard and stiff I've had to remove it."
positive,"I have a Razer keyboard that has a volume jog wheel that became so unreliable that I stopped using it. After spraying this in, it works as good as new again!<br /><br />In the off chance you're in the market for a mechanical keyboard, stay away from Razer. The firmware issues alone are reason to not even consider them. I have a Razer mouse, however (Balisk X Hyperspeed), and it's pretty great."
positive,Like the OEM product. Well made for a lot less cost compared to locally available mounts.
negative,"Cheap, small, and flimsy"
positive,Placed this mat material under the headliner I installed in my jeep.  I can't really comment on how much it helped because I installed it at the same time as I installed the headliner.  There is no way it hurt and was quick and easy to install.
positive,Buying another one!!! This is awesome! You can stretch and tighten buckles to fit anywhere in the back of my van. Would work well for any van or suv.
positive,"Good value, about as cheap as fram filters, matches my oil brand"
positive,"This my third air compressor and it looks like my last for some time.The first two brands were a victor air compressor and a slime brand which was the worse from the two is was made  cheap made of  plastic and vibrates like and old drier, the victor was slighty better than the slime but canot copare to the viair power or the materias is made of don't let the small size full you.I will definitely buy from sellers again."
negative,"The mat was used instead of new! The mat was shipped to my home on the box and with a plastic wrapping, however, when I extend the mat on my car, was full of stains, yellow scratches, and the rubber all over the mat seems to be old and faded. Immediately I put it back into the box and ask for my refund."
positive,Cheap. Good. Actually I've only used the yellow on a regular basis as I can wear them day or night. It is odd that sometimes I can remove the yellow glasses and realize how dull looking a day it is.<br /><br />Good protection behind a windshield. Good visibility in the periphery. Odd nose piece. I'll be buying more of these than the expensive Wx glasses I've been using.
positive,"I took them apart to inspect.<br />Appear they'll work, but they SURE didn't clean them after machining."
positive,Great
positive,"The dome and mechanism are about what you'd expect for the money. It will probably last 3 or 4 years unless you live in a hot, dry area. The fan is junk. The motor is noisy and the fan blades fell off after a few uses. It's about what you'd expect for the price. Look around on Amazon for a 3000 rpm 12 volt motor. You can find one with real bearings for around $20. You might be able to use the fan blades on the new motor. If not, make sure the replacement blades fit in the vent area."
positive,"It seems to work a little, not as much as I hoped. I followed the instructions to a T and didn't get any smoke, so either my engine is really clean for 108K miles or this wasn't doing the job. Either way, I'm sure it didn't hurt. First 2 cans received were very damaged and dented, Amazon replaced them with 2 more (free of charge) and shipped them with adequate packing."
positive,"great part,good price"
positive,"great kit, easy to install.  I ordered this one thinking it was correct for my diesel 2015 F250, it's not but that's my mistake.  I ordered the correct one and it's great."
positive,Nice Land Rover Range Rover mats.
positive,Exactly as described
positive,They were very easy to install.  The replacement lifts really made it easy to lift and close the heavy tailgate.
positive,"These should have been included with the V&H Short Shots to be honest.<br /><br />I initially installed the Short Shots on my V Star 650, far too loud. Ear split-tingly loud without baffles. It also performed terribly because of the lack of back pressure. The bike was almost un-rideable.<br /><br />I ordered two of these (One for each pipe). Once I managed to finally remove the stock &#34;baffles&#34; and installed these, performance was perfect and the sound was just right. Still loud, but not stupid loud. If you're into loud bikes that perform poorly, don't buy these."
positive,"I have tested over a week, keeping even ice cream frozen in Texas weather, mind you not in Texas summer yet, but a few 80 degree days. I did have something set wrong and it drained the car battery after 4 days, so that is on me.  There is battery protection built in, I just didn't have it set.  I was kind of curious to see how long it would take. Very nice clamps to keep the lids closed, travels well staying in place, great additional seating or table when the vehicle is stopped. Single compartment can be used when grocery items are low. I am very happy with this purchase."
positive,"It works really well, just a few swipes and my paint was smooth again. The only downside was I ran out of the detailing spray before I ran out of car."
positive,"Everything fits perfectly on our 2019 Honda Ridgeline,"
positive,I put this on my Lexus Is350 and it blends in well with the factory trim like it came with it.
positive,"Nice heavy matt, good looking, strong plastic odor, hope it goes away soon."
positive,Truck runs great
positive,"Works fine,  they need to be smaller diameter to fit into modern vehicles  ! Will not , P.I.T.A. - Automatic shut-off is pretty useless when you need to stand there and hold it because it doesn't fit in the filler tube inlet !!! -  but it works"
negative,"Why would anyone make an oil drain pan with a spout that is flush with the top rim?  That's not a spout.  Unless you pour the oil out of this thing at a ridiculously slow rate, the oil just flows over the sides and misses whatever you are trying to pour the oil into.<br /><br />This thing is going straight into the trash."
positive,"Sweet little air compressor. I carry in my back pack on long bike rides. Just in case, but the kids have used it to blow up floaties and basketballs. Definitely glad to have this little gadget for everyday needs. Souvh simpler than relying on a big ole one that I need help with."
positive,Been using it for years. Terrific product!
positive,Excellent quality.  Used for 1993 Chevy P30 chassis RV.  Fit and works with OE cap. Re-drilled mounting holes and capped lower hose barb.<br /><br />Easy fix for cracked tank that isn’t available.
negative,This is not an Atwood product.  it is a Dometic product and not the quality of Atwood.  On/off switch is extermely difficult to use and clearly will break after a few uses.  Very poor quality and should not be sold as Atwood.  Shame on Amazon!
positive,These keep things like your keys etc from falling between the seat and console .  Try them you will like them
positive,Sturdy and only one hand to get the phone on it
positive,Perfect and half the price
positive,A little hard for a woman to install.
positive,"I put this kit in a customer's truck and it fit perfectly into the truck and the color was a perfect match.  Seriously, this kit looked better than the OEM bezel.  I was impressed, but my customer was ecstatic.  Definitely worth it."
negative,Nice radiator but the transmission fittings were wrong and I had to use the ones from my old radiator
negative,"I brought the sign a few weeks ago, after one car wash the sticker was gone. I see why it comes with 2. I don't recommend this product. It s expensive for nothing."
positive,"I laid all of these in on top of the existing carpet mats and it's cut so precise, there are no gaps, it's awesome. I'm definitely impressed with this product."
positive,Must have
positive,"It is great in my classroom for cleaning hands and faces.  Some of my students need assistance in maintaining a clean appearance.  These are quick and do the job.  If I am cleaning my tables and such, I do that with heavier paper towels and a cleaning product.  But for a fast, water only, cleaning tool....this works just fine."
positive,"I like the grip on Fram filters, makes it so much easier to remove when it is time.  I have used Fram filters for years with no problems."
positive,"Bought a cat back exhaust system that came with u-bolt design exhaust clamps.  The u-bolt clamps do not hold a seal and pipes could still move (rattling against heat shield, etc).  Replaced with these clamps and the connections are rock solid, no more twisting, solid seal.  Very well made, happy with the product!  The exhaust vendor should include these with their kit..."
positive,"When you purchase, make sure it says ""Briggs and Stratton Store"" which is done through Amazon.<br /><br />Referencing your engine manual, this is parts 590601 & 590602 which includes the foam pre-filter.<br /><br />Perfect fit on the 9.5 GT (B&S Model 130000) that comes on the DR Chipper/Shredder (Generac)"
positive,"Neighbors’ umbrella blew into our truck and scratched along the whole side and tailgate! Of course they didn’t have insurance, so I decided to DIY it. Got rid of about 85% of all the marks, leaving just the very deep ones although they were still less visible afterwards. I’m extremely pleased with the result, especially at such an affordable cost! I’ll buy again if I ever need it!"
positive,[[VIDEOID:d25e02e9e154bf10eb57ef492a4213cf]] Nice hose bag<br /><br />It has a spot for everything !  My neighbor has a RV and he loved this.  Helps keep all his stuff much more organized and clean.
positive,My car
positive,Good Deal Fast Shipping A++++++++++
positive,Always dependable to get rid of scuffs and restore gloss.
positive,"Excellent quality, best pair i’ve owned yet. Leather is soft yet tough. knuckles feel like they were molded from my hands. Super grippy"
positive,Works excellent
positive,Glad I got this.  Fits my windshield much better than the previous one I bought a couple years ago at an auto parts store.  Also keeps the car noticeable cooler than the poorly fitting one.  Otherwise not much to say.
